version,split,modality,sample_count,total_zero_rows,record_type,category,run_location,length_bin,count
aligned,valid,audio,728,19274,run,,suffix,1,47
aligned,valid,audio,728,19274,run,,suffix,11-20,120
aligned,valid,audio,728,19274,run,,suffix,2,6
aligned,valid,audio,728,19274,run,,suffix,3,6
aligned,valid,audio,728,19274,run,,suffix,4,8
aligned,valid,audio,728,19274,run,,suffix,5,3
aligned,valid,audio,728,19274,run,,suffix,6-10,27
aligned,valid,audio,728,19274,run,,suffix,>20,511
aligned,valid,vision,728,20208,overall,,,,20208
aligned,valid,vision,728,20208,structure,ALL_ZERO,,,15
aligned,valid,vision,728,20208,structure,INTERNAL_ZERO_RUN,,,27
aligned,valid,vision,728,20208,structure,MULTIPLE_INTERNAL_RUNS,,,16
aligned,valid,vision,728,20208,structure,PREFIX_AND_SUFFIX,,,670
aligned,valid,vision,728,20208,run,,internal,1,29
aligned,valid,vision,728,20208,run,,internal,2,14
aligned,valid,vision,728,20208,run,,internal,3,7
aligned,valid,vision,728,20208,run,,internal,4,7
aligned,valid,vision,728,20208,run,,internal,5,6
aligned,valid,vision,728,20208,run,,internal,6-10,4
aligned,valid,vision,728,20208,run,,internal,>20,1
aligned,valid,vision,728,20208,run,,prefix,1,688
aligned,valid,vision,728,20208,run,,prefix,11-20,5
aligned,valid,vision,728,20208,run,,prefix,2,3
aligned,valid,vision,728,20208,run,,prefix,3,3
aligned,valid,vision,728,20208,run,,prefix,4,2
aligned,valid,vision,728,20208,run,,prefix,6-10,10
aligned,valid,vision,728,20208,run,,prefix,>20,2
aligned,valid,vision,728,20208,run,,suffix,1,43
aligned,valid,vision,728,20208,run,,suffix,11-20,117
aligned,valid,vision,728,20208,run,,suffix,2,5
aligned,valid,vision,728,20208,run,,suffix,3,6
aligned,valid,vision,728,20208,run,,suffix,4,8
aligned,valid,vision,728,20208,run,,suffix,5,3
aligned,valid,vision,728,20208,run,,suffix,6-10,26
aligned,valid,vision,728,20208,run,,suffix,>20,505
aligned,valid,vision,728,20208,run,,whole,>20,15
unaligned,train,text,3395,0,overall,,,,0
unaligned,train,text,3395,0,structure,NO_ZERO,,,3395
unaligned,train,audio,3395,1197456,overall,,,,1197456
unaligned,train,audio,3395,1197456,structure,NO_ZERO,,,24
unaligned,train,audio,3395,1197456,structure,SUFFIX_ZERO_ONLY,,,3371
unaligned,train,audio,3395,1197456,run,,suffix,11-20,4
unaligned,train,audio,3395,1197456,run,,suffix,2,1
unaligned,train,audio,3395,1197456,run,,suffix,3,1
unaligned,train,audio,3395,1197456,run,,suffix,6-10,4
unaligned,train,audio,3395,1197456,run,,suffix,>20,3361
unaligned,train,vision,3395,1344017,overall,,,,1344017
unaligned,train,vision,3395,1344017,structure,ALL_ZERO,,,30
unaligned,train,vision,3395,1344017,structure,INTERNAL_ZERO_RUN,,,263
unaligned,train,vision,3395,1344017,structure,MULTIPLE_INTERNAL_RUNS,,,355
unaligned,train,vision,3395,1344017,structure,NO_ZERO,,,3
unaligned,train,vision,3395,1344017,structure,SUFFIX_ZERO_ONLY,,,2744
unaligned,train,vision,3395,1344017,run,,internal,1,630
unaligned,train,vision,3395,1344017,run,,internal,11-20,152
unaligned,train,vision,3395,1344017,run,,internal,2,300
unaligned,train,vision,3395,1344017,run,,internal,3,175
unaligned,train,vision,3395,1344017,run,,internal,4,87
unaligned,train,vision,3395,1344017,run,,internal,5,88
unaligned,train,vision,3395,1344017,run,,internal,6-10,228
unaligned,train,vision,3395,1344017,run,,internal,>20,134
unaligned,train,vision,3395,1344017,run,,suffix,1,1
unaligned,train,vision,3395,1344017,run,,suffix,11-20,1
unaligned,train,vision,3395,1344017,run,,suffix,>20,3358
unaligned,train,vision,3395,1344017,run,,whole,>20,30
unaligned,valid,text,728,0,overall,,,,0
unaligned,valid,text,728,0,structure,NO_ZERO,,,728
unaligned,valid,audio,728,251806,overall,,,,251806
unaligned,valid,audio,728,251806,structure,NO_ZERO,,,5
unaligned,valid,audio,728,251806,structure,SUFFIX_ZERO_ONLY,,,723
unaligned,valid,audio,728,251806,run,,suffix,>20,723
unaligned,valid,vision,728,283697,overall,,,,283697
unaligned,valid,vision,728,283697,structure,INTERNAL_ZERO_RUN,,,57
unaligned,valid,vision,728,283697,structure,MULTIPLE_INTERNAL_RUNS,,,84
unaligned,valid,vision,728,283697,structure,NO_ZERO,,,1
unaligned,valid,vision,728,283697,structure,SUFFIX_ZERO_ONLY,,,586
unaligned,valid,vision,728,283697,run,,internal,1,166
unaligned,valid,vision,728,283697,run,,internal,11-20,40
unaligned,valid,vision,728,283697,run,,internal,2,88
unaligned,valid,vision,728,283697,run,,internal,3,43
unaligned,valid,vision,728,283697,run,,internal,4,17
unaligned,valid,vision,728,283697,run,,internal,5,22
unaligned,valid,vision,728,283697,run,,internal,6-10,62
unaligned,valid,vision,728,283697,run,,internal,>20,27
unaligned,valid,vision,728,283697,run,,suffix,>20,726
